# InfiniteCraft curated patch — verified neal.fun canon recipes.
# Format (unsorted OK, server sorts keys): INGREDIENT_A+INGREDIENT_B<TAB>Result Name<TAB>emoji
# These WIN over the 793K dataset. Sources: expitau/InfiniteCraftWiki scrape,
# infinite-craft-nealfun.fandom.com element pages, IGN + Dot Esports walkthroughs.
Planet+Water	Ocean	🌊
Planet+Wind	Storm	⛈️
Sand+Wind	Dune	🌵
Stone+Wind	Sand	🏖️
Storm+Wind	Tornado	🌪️
Swamp+Wind	Mist	🌫️
Ash+Lake	Phoenix	🔥
Ash+Lava	Volcano	🌋
Ash+Mountain	Volcano	🌋
Ash+Smoke	Fire	🔥
Ash+Steam	Smoke	💨
Ash+Tornado	Dust	🌫️
Ash+Volcano	Lava	🌋
Ash+Wave	Surf	🏄
Avalanche+Dust	Snow	❄️
Avalanche+Lava	Volcano	🌋
Avalanche+Mountain	Snow	❄️
Avalanche+Plant	Snowman	☃️
Avalanche+Smoke	Snow	❄️
Avalanche+Steam	Snow	❄️
Avalanche+Tornado	Blizzard	❄️
Avalanche+Volcano	Eruption	🌋
Avalanche+Wave	Tsunami	🌊
Cloud+Dust	Rain	🌧️
Cloud+Lake	Rain	🌧️
Cloud+Lava	Volcano	🌋
Cloud+Plant	Rain	🌧️
Cloud+Smoke	Fog	🌫️
Cloud+Steam	Rain	🌧️
Cloud+Tornado	Rain	🌧️
Cloud+Volcano	Rain	🌧️
Cloud+Wave	Rain	🌧️
Dandelion+Lake	Wish	🌠
Dandelion+Lava	Fire	🔥
Dandelion+Smoke	Fire	🔥
Dandelion+Steam	Tea	🍵
Dandelion+Tornado	Seed	🌱
Dandelion+Wave	Seaweed	🌊
Dust+Eruption	Volcano	🌋
Dust+Mud	Clay	🏺
Dust+Ocean	Sand	🏖️
Dust+Planet	Earth	🌎
Dust+Sand	Sandstorm	🌪️
Dust+Sandstorm	Tornado	🌪️
Dust+Stone	Sand	🏖️
Dust+Swamp	Mud	💩
Dust+Tsunami	Sand	🏖️
Engine+Lava	Volcano	🌋
Engine+Mountain	Train	🚂
Engine+Smoke	Steam	💨
Engine+Tornado	Tornado	🌪️
Engine+Volcano	Steam	💨
Engine+Wave	Tsunami	🌊
Eruption+Lake	Volcano	🌋
Eruption+Lava	Volcano	🌋
Eruption+Mountain	Volcano	🌋
Eruption+Plant	Volcano	🌋
Eruption+Smoke	Volcano	🌋
Eruption+Tornado	Volcano	🌋
Eruption+Volcano	Lava	🌋
Eruption+Wave	Tsunami	🌊
Fog+Lake	Mist	🌫️
Fog+Lava	Volcano	🌋
Fog+Mountain	Cloud	☁️
Fog+Smoke	Cloud	☁️
Fog+Steam	Cloud	☁️
Fog+Tornado	Storm	⛈️
Fog+Volcano	Eruption	🌋
Fog+Wave	Surf	🏄
Lake+Mud	Swamp	🐊
Lake+Planet	Earth	🌎
Lake+Sand	Beach	🏖️
Lake+Sandstorm	Oasis	🏜️
Lake+Storm	Tsunami	🌊
Lake+Swamp	Marsh	🌿
Lake+Tree	Swamp	🐊
Lake+Tsunami	Ocean	🌊
Lava+Mud	Clay	🏺
Lava+Ocean	Stone	🪨
Lava+Planet	Earth	🌎
Lava+Sand	Glass	🥃
Lava+Sandstorm	Volcano	🌋
Lava+Storm	Volcano	🌋
Lava+Swamp	Volcano	🌋
Lava+Tree	Volcano	🌋
Lava+Tsunami	Volcano	🌋
Mountain+Mud	Volcano	🌋
Mountain+Planet	Moon	🌙
Mountain+Sandstorm	Volcano	🌋
Mountain+Stone	Rock	🪨
Mountain+Storm	Avalanche	🌨️
Mountain+Swamp	Volcano	🌋
